分行代碼,名稱,地址,電話,保管箱業務,location,lat,lng
1,營業部(總行),台北市中山區中山北路二段44號,(02)2568-3988,有,"{'lat': 25.0551548, 'lng': 121.5224843}",25.0551548,121.52248429999999
2,敦南分行,台北市大安區仁愛路4段118號,(02)2326-8899,有,"{'lat': 25.0373766, 'lng': 121.5497874}",25.0373766,121.54978740000001
4,新生分行,台北市中正區新生南路一段62號,(02)2395-2888,-,"{'lat': 25.0405318, 'lng': 121.5324868}",25.0405318,121.5324868
5,新莊分行,新北市新莊區中華路二段75號,(02)2998-0888,有,"{'lat': 25.0477935, 'lng': 121.4527232}",25.0477935,121.45272320000001
6,桃園分行,桃園市桃園區復興路205號,(03)339-6000,有,"{'lat': 24.9887216, 'lng': 121.3087216}",24.9887216,121.3087216
7,台中分行,台中市西區台灣大道2段416號,(04)2328-5577,有,"{'lat': 24.1552132, 'lng': 120.6636561}",24.1552132,120.6636561
8,板橋分行,新北市板橋區中正路176號,(02)2965-8888,有,"{'lat': 25.0174823, 'lng': 121.456414}",25.0174823,121.456414
9,高雄分行,高雄市鼓山區明誠四路10號,(07)553-6653,-,"{'lat': 22.661396, 'lng': 120.291815}",22.661396,120.29181499999999
10,台南分行,台南市中西區西門路二段389號,(06)223-3383,有,"{'lat': 22.9986263, 'lng': 120.200476}",22.9986263,120.200476
11,南京東路分行,台北市松山區南京東路三段289號,(02)2546-1068,有,"{'lat': 25.052091, 'lng': 121.546323}",25.052091,121.546323
12,中壢分行,桃園市中壢區延平路366號,(03)427-2345,有,"{'lat': 24.9597263, 'lng': 121.2248418}",24.9597263,121.22484180000001
13,信託部,台北市大安區仁愛路4段118號,(02)2326-8899,-,"{'lat': 25.0373766, 'lng': 121.5497874}",25.0373766,121.54978740000001
14,國外部,台北市中山區建國北路二段17號2樓、6樓,(02)2505-6966,-,"{'lat': 25.0541283, 'lng': 121.5374521}",25.0541283,121.5374521
15,苓雅分行,高雄市前鎮區中山二路260號,(07)537-5537,有,"{'lat': 22.6133062, 'lng': 120.3051101}",22.6133062,120.30511010000001
16,蘆洲分行,新北市蘆洲區長榮路197號,(02)2848-5858,有,"{'lat': 25.0847324, 'lng': 121.4610179}",25.0847324,121.4610179
17,天母分行,台北市士林區中山北路六段88號,(02)2836-3988,-,"{'lat': 25.1049165, 'lng': 121.525007}",25.1049165,121.525007
18,大里分行,台中市大里區中興路二段127號,(04)2483-4088,有,"{'lat': 24.104334, 'lng': 120.6887377}",24.104333999999998,120.6887377
19,國際金融業務分行,台北市中山區建國北路二段17號2樓、6樓,(02)2505-6966,-,"{'lat': 25.0541283, 'lng': 121.5374521}",25.0541283,121.5374521
20,中和分行,新北市永和區中和路341號,(02)2232-7788,-,"{'lat': 24.9998309, 'lng': 121.5076689}",24.9998309,121.5076689
21,嘉義分行,嘉義市西區垂楊路620號,(05)222-2818,-,"{'lat': 23.4735193, 'lng': 120.4439323}",23.4735193,120.44393229999999
22,豐原分行,台中市豐原區圓環東路368號,(04)2525-7999,有,"{'lat': 24.2447493, 'lng': 120.7239688}",24.244749300000002,120.72396880000001
23,花蓮分行,花蓮縣花蓮市中山路408-9號,(03)834-5930,-,"{'lat': 23.9850677, 'lng': 121.6032384}",23.9850677,121.60323840000001
24,新竹分行,新竹市北區東大路二段83號,(03)535-1546,-,"{'lat': 24.813363, 'lng': 120.96736}",24.813363,120.96736000000001
25,七賢分行,高雄市新興區七賢一路386號,(07)238-8545,-,"{'lat': 22.6343741, 'lng': 120.3074649}",22.634374100000002,120.3074649
26,信義分行,台北市信義區松高路1號,(02)2723-0088,有,"{'lat': 25.039625, 'lng': 121.5643078}",25.039625,121.5643078
27,北台中分行,台中市北屯區崇德路二段55號,(04)2232-6886,有,"{'lat': 24.170231, 'lng': 120.685062}",24.170231,120.68506200000002
28,三重分行,新北市三重區正義北路116號,(02)2983-6100,-,"{'lat': 25.0653805, 'lng': 121.49674}",25.0653805,121.49673999999999
29,永福分行,台南市中西區永福路二段150號,(06)220-4622,有,"{'lat': 22.9944241, 'lng': 120.201679}",22.9944241,120.201679
30,屏東分行,屏東縣屏東市廣東路103號,(08)721-7777,有,"{'lat': 22.6728185, 'lng': 120.4993692}",22.672818499999998,120.4993692
31,大安分行,台北市大安區信義路三段118號,(02)2700-9388,-,"{'lat': 25.0332424, 'lng': 121.5388014}",25.0332424,121.5388014
32,龍潭分行,桃園市龍潭區中正路176號,(03)499-3800,有,"{'lat': 24.8656062, 'lng': 121.2168219}",24.865606200000002,121.2168219
33,崇德分行,台南市東區崇德路260號,(06)290-6901,-,"{'lat': 22.9777292, 'lng': 120.2219734}",22.9777292,120.22197340000001
34,金華分行,台南市南區金華路二段195號,(06)263-9121,-,"{'lat': 22.9821398, 'lng': 120.191343}",22.982139800000002,120.19134299999999
35,後甲分行,台南市東區裕農路520號,06-2092638,-,"{'lat': 22.9883749, 'lng': 120.232937}",22.988374899999997,120.232937
36,海佃分行,台南市安南區海佃路一段130號,(06)258-5015,-,"{'lat': 23.0235795, 'lng': 120.191948}",23.0235795,120.191948
37,彰化分行,彰化縣彰化市中正路一段273號,(04)722-7789,-,"{'lat': 24.0830499, 'lng': 120.546172}",24.0830499,120.546172
38,五甲分行,高雄市鳳山區五甲二路734號,(07)813-1168,-,"{'lat': 22.5940003, 'lng': 120.3289914}",22.5940003,120.3289914
39,鳳山分行,高雄市鳳山區中山西路105號,(07)719-9999,-,"{'lat': 22.62681, 'lng': 120.352232}",22.62681,120.352232
40,古亭分行,台北市中正區羅斯福路三段28號,(02)2364-6888,-,"{'lat': 25.0231215, 'lng': 121.5251251}",25.0231215,121.5251251
41,建橋分行,台北市中山區南京東路二段150號,(02)2508-1899,-,"{'lat': 25.051879, 'lng': 121.5343164}",25.051879,121.53431640000001
43,民生分行,台北市松山區三民路88號,(02)8787-2680,-,"{'lat': 25.0566662, 'lng': 121.563815}",25.0566662,121.56381499999999
44,太平分行,台中市太平區宜昌路511號,(04)2273-0588,-,"{'lat': 24.1476987, 'lng': 120.7154811}",24.1476987,120.7154811
45,和平分行,台北市大安區和平東路一段238號,(02)2368-5589,-,"{'lat': 25.026064, 'lng': 121.532501}",25.026064,121.532501
46,北高雄分行,高雄市左營區博愛二路360號,(07)550-9900,-,"{'lat': 22.664764, 'lng': 120.303737}",22.664764,120.30373700000001
47,南新莊分行,新北市新莊區富國路58號,(02)2906-8868,-,"{'lat': 25.026024, 'lng': 121.4191573}",25.026024,121.41915729999998
48,內湖分行,台北市內湖區內湖路一段358號,(02)2659-9966,-,"{'lat': 25.0814375, 'lng': 121.5705525}",25.0814375,121.57055249999999
49,永和分行,新北市永和區竹林路195號,(02)8928-0588,-,"{'lat': 25.0094221, 'lng': 121.5208055}",25.009422100000002,121.5208055
51,逢甲分行,台中市西屯區河南路二段258號,(04)2451-7890,有,"{'lat': 24.1754402, 'lng': 120.6495325}",24.1754402,120.64953249999999
52,竹科分行,新竹市東區光復路二段289號,(03)516-3123,有,"{'lat': 24.7998455, 'lng': 120.9896942}",24.7998455,120.9896942
54,南屯分行,台中市南屯區東興路二段187號,(04)2472-0788,-,"{'lat': 24.1412134, 'lng': 120.6528905}",24.141213399999998,120.6528905
55,大直分行,台北市中山區北安路645號,(02)8509-6858,-,"{'lat': 25.0838917, 'lng': 121.5491078}",25.0838917,121.5491078
56,南門分行,台北市中正區南昌路一段55號,(02)2397-2588,-,"{'lat': 25.031275, 'lng': 121.517357}",25.031275,121.517357
61,西門分行,台北市中正區重慶南路一段57號,(02)2371-7878,-,"{'lat': 25.0446169, 'lng': 121.513388}",25.0446169,121.51338799999999
62,敦北分行,台北市松山區民生東路三段133號,(02)2712-6666,有,"{'lat': 25.0579253, 'lng': 121.5482507}",25.0579253,121.5482507
63,忠孝分行,台北市大安區忠孝東路4段282號,(02)6636-9999,-,"{'lat': 25.0411961, 'lng': 121.5554946}",25.0411961,121.5554946
64,復興分行,台北市中山區復興北路150號,(02)2713-7666,-,"{'lat': 25.0527719, 'lng': 121.5438134}",25.0527719,121.5438134
65,板南分行,新北市板橋區館前東路41號,(02)2956-6789,-,"{'lat': 25.0074259, 'lng': 121.4610421}",25.007425899999998,121.46104209999999
66,民權分行,台中市北區民權路559號,(04)2205-1888,-,"{'lat': 24.1618281, 'lng': 120.6703637}",24.1618281,120.67036370000001
67,三民分行,高雄市三民區澄清路573號,(07)398-7111,-,"{'lat': 22.6434723, 'lng': 120.3459654}",22.6434723,120.34596540000001
68,建北分行,台北市中山區建國北路二段17號,(02)2516-5766,-,"{'lat': 25.0541283, 'lng': 121.5374521}",25.0541283,121.5374521
69,三和分行,新北市三重區三和路四段183號,(02)2287-7979,-,"{'lat': 25.0790951, 'lng': 121.4826174}",25.0790951,121.48261740000001
70,北新店分行,新北市新店區寶強路23號,(02)2912-3988,-,"{'lat': 24.979204, 'lng': 121.5434599}",24.979204,121.54345990000002
71,府城分行,台南市中西區中山路88號,(06)228-4400,-,"{'lat': 22.9942384, 'lng': 120.2079412}",22.9942384,120.20794120000001
72,東高雄分行,高雄市三民區建興路309號,(07)380-1500,-,"{'lat': 22.6459244, 'lng': 120.3232434}",22.6459244,120.32324340000001
73,基隆路分行,台北市信義區基隆路二段55號,(02)2735-2567,-,"{'lat': 25.030898, 'lng': 121.5585361}",25.030898,121.5585361
74,新店分行,新北市新店區北新路一段136號,(02)2915-7766,有,"{'lat': 24.9703424, 'lng': 121.5426377}",24.9703424,121.54263770000001
75,北桃園分行,桃園市桃園區大興西路一段166號,(03)346-4888,有,"{'lat': 25.0145976, 'lng': 121.304953}",25.014597600000002,121.304953
76,大墩分行,台中市南屯區大墩路711號,(04)2327-4567,-,"{'lat': 24.1532365, 'lng': 120.6496536}",24.1532365,120.64965359999998
77,延平分行,台北市大同區延平北路2段202號,(02)2557-9155,有,"{'lat': 25.059057, 'lng': 121.511341}",25.059057,121.51134099999999
78,南崁分行,桃園市蘆竹區中正路68號,(03) 321-5999,-,"{'lat': 25.0449535, 'lng': 121.2936976}",25.044953500000002,121.2936976
79,景平分行,新北市中和區景平路634之9號,(02)2242-8989,-,"{'lat': 24.9981325, 'lng': 121.5002345}",24.9981325,121.50023449999999
80,文心分行,台中市南屯區文心路一段218號,(04)2473-6767,有,"{'lat': 24.1425101, 'lng': 120.6468653}",24.142510100000003,120.64686529999999
81,岡山分行,高雄市岡山區中山北路67號,(07)621-9677,-,"{'lat': 22.79477, 'lng': 120.2987458}",22.79477,120.29874579999999
82,松江分行,台北市中山區松江路236號,(02) 2523-7166,-,"{'lat': 25.0590598, 'lng': 121.5328451}",25.0590598,121.53284509999999
83,大雅分行,台中市大雅區中清東路242號,(04)2565-2299,-,"{'lat': 24.2252708, 'lng': 120.6465101}",24.2252708,120.6465101
84,汐止分行,新北市汐止區中興路135號,(02)2694-5133,-,"{'lat': 25.0654508, 'lng': 121.6316292}",25.0654508,121.63162920000002
85,成功分行,新竹縣竹北市自強南路180號,(03)5508396,-,"{'lat': 24.8155247, 'lng': 121.0244668}",24.8155247,121.02446680000001
86,石牌分行,台北市北投區石牌路二段49號,(02)55815052,-,"{'lat': 25.1162989, 'lng': 121.5158434}",25.116298899999997,121.51584340000001
87,永康分行,台南市永康區中華路986號,(06)242-5788,-,"{'lat': 23.0212681, 'lng': 120.222283}",23.0212681,120.222283
88,南松山分行,台北市松山區南京東路5段108號,(02)2528-6188,有,"{'lat': 25.0512148, 'lng': 121.5620716}",25.0512148,121.5620716
89,淡水分行,新北市淡水區中山路76號,(02)2626-8689,-,"{'lat': 25.1707157, 'lng': 121.4430757}",25.170715700000002,121.4430757
90,東基隆分行,基隆市信義區信一路133之1號,(02)2424-9999,-,"{'lat': 25.129194, 'lng': 121.7475401}",25.129194000000002,121.74754009999998
91,新板分行,新北市板橋區縣民大道2段98號,(02)2957-1858,有,"{'lat': 25.0153302, 'lng': 121.4667381}",25.0153302,121.4667381
92,北師分行,台北市大安區和平東路二段347號,(02)2705-8588,-,"{'lat': 25.0249693, 'lng': 121.5459863}",25.0249693,121.5459863
93,佳里分行,台南市佳里區延平路290號,(06)722-6655,-,"{'lat': 23.1606007, 'lng': 120.1783891}",23.1606007,120.17838909999999
94,江翠分行,新北市板橋區文化路2段182巷3弄79號,(02)8252-9999,-,"{'lat': 25.029267, 'lng': 121.4727593}",25.029267,121.47275929999999
97,松德分行,台北市信義區忠孝東路五段408號,(02)8789-5788,-,"{'lat': 25.0407069, 'lng': 121.575017}",25.0407069,121.57501699999999
98,北大分行,新竹市北區北大路457號,(03)521-8181,有,"{'lat': 24.8019857, 'lng': 120.9601731}",24.8019857,120.96017309999999
99,南港分行,台北市南港區三重路19-12號,(02)2655-9988,-,"{'lat': 25.058204, 'lng': 121.613941}",25.058204,121.613941
100,關東橋分行,新竹市東區光復路一段271號,(03)577-9292,有,"{'lat': 24.7822416, 'lng': 121.0196309}",24.782241600000003,121.01963090000001
101,竹北分行,新竹縣竹北市中正東路331號,(03)551-8383,有,"{'lat': 24.8353284, 'lng': 121.0113928}",24.835328399999998,121.01139280000001
102,南寮分行,新竹市北區東大路三段543號,(03)536-2611,有,"{'lat': 24.840643, 'lng': 120.936921}",24.840643,120.936921
103,八德分行,桃園市八德區介壽路一段991號,(03)362-6668,-,"{'lat': 24.958674, 'lng': 121.299664}",24.958674,121.29966399999999
104,員林分行,彰化縣員林市育英路28號,(04)839-7899,-,"{'lat': 23.9582543, 'lng': 120.5754272}",23.9582543,120.57542720000001
105,市府分行,台中市西屯區文心路二段91號,(04)2258-8757,有,"{'lat': 24.1578606, 'lng': 120.6465605}",24.157860600000003,120.64656049999999
106,右昌分行,高雄市楠梓區後昌路750號,(07)365-2200,-,"{'lat': 22.7104357, 'lng': 120.2963008}",22.710435699999998,120.2963008
107,沙鹿分行,台中市沙鹿區中山路201-1號,(04)2665-6699,-,"{'lat': 24.267761, 'lng': 120.574729}",24.267761,120.574729
108,竹南分行,苗栗縣竹南鎮民族街61號,(037)-468777,-,"{'lat': 24.6851544, 'lng': 120.8782386}",24.6851544,120.87823859999999
109,羅東分行,宜蘭縣羅東鎮公正路153號,(03)9533366,-,"{'lat': 24.6783601, 'lng': 121.7699881}",24.678360100000003,121.7699881
110,東湖分行,台北市內湖區成功路5段452-1號,(02)26305678,-,"{'lat': 25.0744159, 'lng': 121.6068446}",25.074415899999998,121.6068446
111,文山分行,台北市文山區保儀路9號,(02)29382323,-,"{'lat': 24.9884132, 'lng': 121.5688203}",24.988413199999997,121.5688203
112,副都心分行,新北市新莊區中原路150 號,(02)8521-1388,有,"{'lat': 25.0545196, 'lng': 121.4549997}",25.054519600000003,121.4549997
113,景美分行,台北市文山區車前路11之1號,(02)2930-3013,有,"{'lat': 24.991279, 'lng': 121.540903}",24.991279000000002,121.540903
114,雄科分行,高雄市前鎮區復興四路21號,(07)331-6765,-,"{'lat': 22.6048812, 'lng': 120.3000979}",22.6048812,120.30009790000001
